"country","total_wins","total_draws","total_losses"
"Brazil","23","4","7"
"Germany","23","4","7"
"Argentina","20","5","6"
"France","18","7","7"
"Netherlands","16","4","3"
"Spain","15","6","6"
"England","12","9","8"
"Belgium","12","3","4"
"Portugal","11","6","9"
"Croatia","10","6","7"
"Uruguay","10","5","7"
"Mexico","9","5","9"
"Switzerland","8","5","6"
"Italy","7","5","5"
"South Korea","7","6","11"
"Japan","7","5","10"
"Colombia","6","1","2"
"USA","5","7","8"
"Sweden","5","4","4"
"Senegal","5","3","4"
"Ghana","5","3","7"
"Ecuador","5","2","6"
"Chile","4","1","3"
"Denmark","4","5","5"
"Turkey","4","1","2"
"Australia","4","3","10"
"Morocco","4","2","4"
"Poland","4","1","8"
"Costa Rica","4","5","8"
"Russia","3","4","4"
"Ivory Coast","3","1","5"
"Paraguay","3","4","5"
"Iran","2","3","7"
"South Africa","2","2","2"
"Tunisia","2","3","7"
"Serbia","2","1","6"
"Greece","2","2","3"
"Nigeria","2","3","8"
"Cameroon","2","2","8"
"Saudi Arabia","2","1","9"
"Ukraine","2","1","2"
"Peru","1","0","2"
"Slovenia","1","1","4"
"Bosnia and Herzegovina","1","0","2"
"Czech Republic","1","0","2"
"Algeria","1","2","4"
"Republic of Ireland","1","3","0"
"Slovakia","1","1","2"
"Wales","0","1","2"
"North Korea","0","0","3"
"China PR","0","0","3"
"Angola","0","2","1"
"Panama","0","0","3"
"Canada","0","0","3"
"Serbia and Montenegro","0","0","3"
"Trinidad and Tobago","0","1","2"
"Egypt","0","0","3"
"Togo","0","0","3"
"Iceland","0","1","2"
"Qatar","0","0","3"
"Honduras","0","1","5"
"New Zealand","0","3","0"
