"country","total_games_played","total_scored","goals_scored_per_game"
"Germany","34","70","2.1"
"Colombia","9","18","2.0"
"Brazil","34","64","1.9"
"Argentina","31","52","1.7"
"Netherlands","23","40","1.7"
"Spain","27","47","1.7"
"France","32","50","1.6"
"Portugal","26","42","1.6"
"Belgium","19","29","1.5"
"Republic of Ireland","4","6","1.5"
"Russia","11","17","1.5"
"Croatia","23","32","1.4"
"England","29","42","1.4"
"Italy","17","23","1.4"
"Ivory Coast","9","13","1.4"
"Turkey","7","10","1.4"
"Bosnia and Herzegovina","3","4","1.3"
"Senegal","12","16","1.3"
"Slovakia","4","5","1.3"
"South Africa","6","8","1.3"
"Uruguay","22","28","1.3"
"Ghana","15","18","1.2"
"South Korea","24","28","1.2"
"Switzerland","19","22","1.2"
"Chile","8","9","1.1"
"Costa Rica","17","18","1.1"
"Ecuador","13","14","1.1"
"Japan","22","24","1.1"
"Sweden","13","14","1.1"
"USA","20","22","1.1"
"Algeria","7","7","1.0"
"Australia","17","17","1.0"
"Czech Republic","3","3","1.0"
"Mexico","23","23","1.0"
"Serbia","9","9","1.0"
"Ukraine","5","5","1.0"
"Denmark","14","12","0.9"
"Paraguay","12","11","0.9"
"Cameroon","12","9","0.8"
"Iran","12","9","0.8"
"Morocco","10","8","0.8"
"Nigeria","13","10","0.8"
"Poland","13","10","0.8"
"Slovenia","6","5","0.8"
"Tunisia","12","10","0.8"
"Canada","3","2","0.7"
"Egypt","3","2","0.7"
"Greece","7","5","0.7"
"Iceland","3","2","0.7"
"New Zealand","3","2","0.7"
"Panama","3","2","0.7"
"Peru","3","2","0.7"
"Serbia and Montenegro","3","2","0.7"
"Saudi Arabia","12","7","0.6"
"Angola","3","1","0.3"
"North Korea","3","1","0.3"
"Qatar","3","1","0.3"
"Togo","3","1","0.3"
"Wales","3","1","0.3"
"Honduras","6","1","0.2"
"China PR","3","0","0"
"Trinidad and Tobago","3","0","0"
