"country","total_wins","total_games_played","win_percentage"
"Netherlands","16","23","69.57"
"Germany","23","34","67.65"
"Brazil","23","34","67.65"
"Colombia","6","9","66.67"
"Argentina","20","31","64.52"
"Belgium","12","19","63.16"
"Turkey","4","7","57.14"
"France","18","32","56.25"
"Spain","15","27","55.56"
"Chile","4","8","50.00"
"Uruguay","10","22","45.45"
"Croatia","10","23","43.48"
"Portugal","11","26","42.31"
"Switzerland","8","19","42.11"
"Senegal","5","12","41.67"
"England","12","29","41.38"
"Italy","7","17","41.18"
"Ukraine","2","5","40.00"
"Morocco","4","10","40.00"
"Mexico","9","23","39.13"
"Sweden","5","13","38.46"
"Ecuador","5","13","38.46"
"Ivory Coast","3","9","33.33"
"Bosnia and Herzegovina","1","3","33.33"
"Czech Republic","1","3","33.33"
"South Africa","2","6","33.33"
"Peru","1","3","33.33"
"Ghana","5","15","33.33"
"Japan","7","22","31.82"
"Poland","4","13","30.77"
"South Korea","7","24","29.17"
"Denmark","4","14","28.57"
"Greece","2","7","28.57"
"Russia","3","11","27.27"
"Paraguay","3","12","25.00"
"Republic of Ireland","1","4","25.00"
"Slovakia","1","4","25.00"
"USA","5","20","25.00"
"Australia","4","17","23.53"
"Costa Rica","4","17","23.53"
"Serbia","2","9","22.22"
"Slovenia","1","6","16.67"
"Cameroon","2","12","16.67"
"Tunisia","2","12","16.67"
"Saudi Arabia","2","12","16.67"
"Iran","2","12","16.67"
"Nigeria","2","13","15.38"
"Algeria","1","7","14.29"
"Qatar","0","3","0.00"
"Honduras","0","6","0.00"
"New Zealand","0","3","0.00"
"Angola","0","3","0.00"
"Panama","0","3","0.00"
"Canada","0","3","0.00"
"North Korea","0","3","0.00"
"China PR","0","3","0.00"
"Trinidad and Tobago","0","3","0.00"
"Iceland","0","3","0.00"
"Wales","0","3","0.00"
"Egypt","0","3","0.00"
"Serbia and Montenegro","0","3","0.00"
"Togo","0","3","0.00"
