"country","total_games_played","total_conceded","goals_conceded_per_game"
"North Korea","3","12","4.0"
"Panama","3","11","3.7"
"Serbia and Montenegro","3","10","3.3"
"China PR","3","9","3.0"
"Saudi Arabia","12","31","2.6"
"Canada","3","7","2.3"
"Qatar","3","7","2.3"
"Egypt","3","6","2.0"
"Togo","3","6","2.0"
"Wales","3","6","2.0"
"Australia","17","32","1.9"
"Costa Rica","17","33","1.9"
"Cameroon","12","21","1.8"
"Honduras","6","11","1.8"
"Slovakia","4","7","1.8"
"Iceland","3","5","1.7"
"Serbia","9","15","1.7"
"Slovenia","6","10","1.7"
"South Africa","6","10","1.7"
"Tunisia","12","20","1.7"
"Iran","12","19","1.6"
"Ivory Coast","9","14","1.6"
"Poland","13","21","1.6"
"Ghana","15","23","1.5"
"South Korea","24","35","1.5"
"Greece","7","10","1.4"
"Senegal","12","17","1.4"
"Ukraine","5","7","1.4"
"USA","20","28","1.4"
"Algeria","7","9","1.3"
"Bosnia and Herzegovina","3","4","1.3"
"Czech Republic","3","4","1.3"
"Japan","22","29","1.3"
"Nigeria","13","17","1.3"
"Russia","11","14","1.3"
"Trinidad and Tobago","3","4","1.3"
"Croatia","23","28","1.2"
"Switzerland","19","22","1.2"
"Chile","8","9","1.1"
"Denmark","14","16","1.1"
"Ecuador","13","14","1.1"
"Mexico","23","26","1.1"
"Portugal","26","29","1.1"
"Uruguay","22","24","1.1"
"Argentina","31","32","1.0"
"Spain","27","27","1.0"
"Sweden","13","13","1.0"
"Belgium","19","18","0.9"
"Brazil","34","30","0.9"
"England","29","26","0.9"
"Italy","17","15","0.9"
"Morocco","10","9","0.9"
"Paraguay","12","11","0.9"
"Turkey","7","6","0.9"
"Colombia","9","7","0.8"
"France","32","27","0.8"
"Germany","34","27","0.8"
"Republic of Ireland","4","3","0.8"
"Angola","3","2","0.7"
"Netherlands","23","16","0.7"
"New Zealand","3","2","0.7"
"Peru","3","2","0.7"
